index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3971	main_captions	MSRvid	2019	3972	none	none	Um pimentão está sendo cortado em pedaços por uma pessoa	A pessoa está fatiando um dente de alho em pedaços	0
3976	main_captions	MSRvid	2019	3977	none	none	O homem está comendo	A pessoa está comendo	1
3965	main_captions	MSRvid	2019	3966	none	none	Um cavalo está arremessando o vaqueiro vestindo calça de cor azul e vermelha	Um homem está colocando uma capa sobre um cavalo selvagem que está caindo na pista	0
3975	main_captions	MSRvid	2019	3976	none	none	Uma mulher velha está usando uma camisa com padrões de rosas e está desajeitadamente carregando dois jornais	Uma velha mulher está vestindo uma camisa com um padrão de rosas e está desajeitadamente carregando dois jornais	1
3964	main_captions	MSRvid	2019	3965	none	none	Uma pessoa está cortando alguns cogumelos	Não tem nenhuma pessoa cortando alguns cogumelos	0
3974	main_captions	MSRvid	2019	3975	none	none	Um cachorro preto está pulando de uma bola de feno para outra bola de feno	Um cachorro preto está saltando de uma bola de feno para outra bola de feno	1
3958	main_captions	MSRvid	2019	3959	none	none	Uma mulher está pondo o bebê em uma lata de lixo	Uma pessoa está colocando carne em uma sautese	0
3973	main_captions	MSRvid	2019	3974	none	none	Um homem está dançando	Um homem está realizando uma dança	1
3957	main_captions	MSRvid	2019	3958	none	none	Um menino está enchendo um jarro com água	Uma mulher está coletando água da torneira em uma caneca	0
3972	main_captions	MSRvid	2019	3973	none	none	Uma pessoa está dobrando um pedaço de papel	Alguém está dobrando um pedaço de papel	1
3954	main_captions	MSRvid	2019	3955	none	none	Um jogador de futebol de campo está chutando a bola dentro do gol	Uma bola de futebol de campo não está rolando para uma rede de gol	0
3970	main_captions	MSRvid	2019	3971	none	none	Um gato preto está balançando em um ventilador	Um gato está balançando em um ventilador	1
3953	main_captions	MSRvid	2019	3954	none	none	Um cachorro está brincando excitadamente com água em um campo	O cachorro está abocanhando algumas gotas de água	0
3969	main_captions	MSRvid	2019	3970	none	none	Uma mulher está coletando água da torneira em uma caneca	Uma mulher está coletando água de uma torneira em uma caneca	1
3951	main_captions	MSRvid	2019	3952	none	none	Um homem está quebrando uma mão de madeira contra uma placa	Um homem está quebrando azulejos com as mãos	0
3968	main_captions	MSRvid	2019	3969	none	none	O homem está montando um cavalo perto de um riacho	Um cavalo está sendo montado por um homem	1
3950	main_captions	MSRvid	2019	3951	none	none	Uma pessoa está realizando um truque com cartas	Ninguém está realizando um truque de cartas	0
3967	main_captions	MSRvid	2019	3968	none	none	Um menino está pulando de uma plataforma e dois outros meninos estão de pé e assistindo	Um menino está pulando de uma plataforma e dois outros meninos estão de pé e o encarando	1
3947	main_captions	MSRvid	2019	3948	none	none	A mulher está mexendo ovos em uma tigela	Alguém está batendo um ovo	0
3966	main_captions	MSRvid	2019	3967	none	none	O homem de chapéu branco está tocando violão no palco	Um homem de chapéu branco está tocando violão no palco	1
3946	main_captions	MSRvid	2019	3947	none	none	Não tem nenhuma criança segurando uma pistola de água	Uma criança está segurando uma pistola de água	0
3963	main_captions	MSRvid	2019	3964	none	none	A pessoa está escovando um gato	Uma pessoa está escovando um gato	1
3944	main_captions	MSRvid	2019	3945	none	none	Um cachorro branco e castanho está andando pela água com dificuldade	Não tem nenhum cachorro branco e castanho andando ansiosamente com dificuldade na água	0
3962	main_captions	MSRvid	2019	3963	none	none	A menina loira está dançando em frente ao equipamento de som	O equipamento na frente da menina loira dançando está tocando	1
3943	main_captions	MSRvid	2019	3944	none	none	Um macaco pequenino está andando pela água	Um macaco não está andando pela água	0
3961	main_captions	MSRvid	2019	3962	none	none	Algum gato está brincando com uma melancia	Um gato está brincando com uma melancia	1
3941	main_captions	MSRvid	2019	3942	none	none	A mulher está usando óculos e uma touca preta	A mulher com um chapéu preto está usando óculos de sol	0
3960	main_captions	MSRvid	2019	3961	none	none	Os homens estão lutando com seus punhos em um ringue	Dois homens estão lutando com os punhos em um ringue	1
3940	main_captions	MSRvid	2019	3941	none	none	Um praticante de salto está jogando o snowboard de uma pessoa pelo ar	A pessoa que está praticando snowboard pula pelo ar	0
3959	main_captions	MSRvid	2019	3960	none	none	O homem está temperando as salsichas	O homem está temperando a carne	1
3939	main_captions	MSRvid	2019	3940	none	none	O homem não está fatiando vegetais	Uma mulher está fatiando uma batata	0
3956	main_captions	MSRvid	2019	3957	none	none	Um cachorro está empurrando uma criança pequena para uma poça de chuva	O cachorro está empurrando um menino para a água	1
3938	main_captions	MSRvid	2019	3939	none	none	Não tem nenhum homem sentado no chão tocando violão	Um homem está sentado no chão em uma sala e está dedilhando um violão	0
3955	main_captions	MSRvid	2019	3956	none	none	Duas pessoas estão sentadas em cadeiras de gramado e estão lendo livros	Algumas pessoas estão sentadas em cadeiras no gramado e estão lendo livros	1
