index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3958	main_captions	MSRvid	2019	3959	none	none	A woman is putting the baby in a trash can	A person is putting meat in a sautese	1.0
3971	main_captions	MSRvid	2019	3972	none	none	A bell pepper is being cut into pieces by one person	The person is slicing a garlic clove into pieces	2.8
3962	main_captions	MSRvid	2019	3963	none	none	The blonde girl is dancing in front of the stereo	The outfit in front of the dancing blonde girl is playing	3.9
3976	main_captions	MSRvid	2019	3977	none	none	The man is eating	The person is eating	4.4
3963	main_captions	MSRvid	2019	3964	none	none	The person is brushing a cat	A person is brushing a cat	5.0
3911	main_captions	MSRvid	2019	3912	none	none	A lonely cyclist is jumping in the air	A man is jumping in an empty pool	1.6
3965	main_captions	MSRvid	2019	3966	none	none	A horse is flinging the cowboy wearing blue and red pants	A man is putting a cape on a wild horse that is falling on the track.	2.2
3956	main_captions	MSRvid	2019	3957	none	none	A dog is pushing a small child into a rain puddle	The dog is pushing a boy into the water	3.9
3975	main_captions	MSRvid	2019	3976	none	none	An old woman is wearing a shirt with rose patterns and is clumsily carrying two newspapers.	An old woman is wearing a shirt with a rose pattern and is clumsily carrying two newspapers.	4.8
3899	main_captions	MSRvid	2019	3900	none	none	Cereal is being eaten by man	The man is eating cereal	5.0
3900	main_captions	MSRvid	2019	3901	none	none	A man is kicking a soccer ball on the pitch	The contents of a bowl are being mixed by a man.	1.0
3957	main_captions	MSRvid	2019	3958	none	none	A boy is filling a jug with water	A woman is collecting tap water in a mug	2.3
3953	main_captions	MSRvid	2019	3954	none	none	A dog is playing excitedly with water in a field	The dog is snapping a few drops of water	3.65
3974	main_captions	MSRvid	2019	3975	none	none	A black dog is jumping from one hay ball to another hay ball	A black dog is jumping from one hay ball to another hay ball	4.8
3897	main_captions	MSRvid	2019	3898	none	none	A man and a woman are walking through the woods	The man and the woman are walking through the woods	5.0
3885	main_captions	MSRvid	2019	3886	none	none	A monkey is angrily kicking a target	Sautese is being greased by a woman who is pouring some water	1.0
3954	main_captions	MSRvid	2019	3955	none	none	A soccer player is kicking the ball into the goal	A soccer ball is not rolling into a goal net	2.8
3950	main_captions	MSRvid	2019	3951	none	none	A person is performing a card trick	No one is performing a card trick	3.1
3973	main_captions	MSRvid	2019	3974	none	none	A man is dancing	A man is performing a dance	4.8
3892	main_captions	MSRvid	2019	3893	none	none	A person is slicing an onion	An onion is being sliced by one person	5.0
3866	main_captions	MSRvid	2019	3867	none	none	A man is shooting guns	A woman is riding a horse	1.0
3951	main_captions	MSRvid	2019	3952	none	none	A man is breaking a wooden hand against a board.	A man is breaking tiles with his hands.	2.7
3946	main_captions	MSRvid	2019	3947	none	none	There&#39;s no kid holding a water gun	A child is holding a water gun	3.035
3972	main_captions	MSRvid	2019	3973	none	none	A person is folding a piece of paper.	Someone is folding a piece of paper.	4.8
3873	main_captions	MSRvid	2019	3874	none	none	A woman in purple clothes is taking a bicycle between two stone columns	A woman in a purple blouse is riding a bicycle between two stone columns.	5.0
3864	main_captions	MSRvid	2019	3865	none	none	A man is carefully climbing a rope.	A panda is climbing	1.6
3944	main_captions	MSRvid	2019	3945	none	none	A white and brown dog is struggling through the water	There are no white and brown dogs struggling anxiously in the water.	2.6
3943	main_captions	MSRvid	2019	3944	none	none	A little monkey is walking by the water	A monkey is not walking by the water	3.7
3970	main_captions	MSRvid	2019	3971	none	none	A black cat is swinging on a fan	A cat is swinging on a fan	4.5
