index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3958	main_captions	MSRvid	2019	3959	none	none	Uma mulher está pondo o bebê em uma lata de lixo	Uma pessoa está colocando carne em uma sautese	1.0
3971	main_captions	MSRvid	2019	3972	none	none	Um pimentão está sendo cortado em pedaços por uma pessoa	A pessoa está fatiando um dente de alho em pedaços	2.8
3962	main_captions	MSRvid	2019	3963	none	none	A menina loira está dançando em frente ao equipamento de som	O equipamento na frente da menina loira dançando está tocando	3.9
3976	main_captions	MSRvid	2019	3977	none	none	O homem está comendo	A pessoa está comendo	4.4
3963	main_captions	MSRvid	2019	3964	none	none	A pessoa está escovando um gato	Uma pessoa está escovando um gato	5.0
3911	main_captions	MSRvid	2019	3912	none	none	Um ciclista solitário está pulando no ar	Um homem está pulando em uma piscina vazia	1.6
3965	main_captions	MSRvid	2019	3966	none	none	Um cavalo está arremessando o vaqueiro vestindo calça de cor azul e vermelha	Um homem está colocando uma capa sobre um cavalo selvagem que está caindo na pista	2.2
3956	main_captions	MSRvid	2019	3957	none	none	Um cachorro está empurrando uma criança pequena para uma poça de chuva	O cachorro está empurrando um menino para a água	3.9
3975	main_captions	MSRvid	2019	3976	none	none	Uma mulher velha está usando uma camisa com padrões de rosas e está desajeitadamente carregando dois jornais	Uma velha mulher está vestindo uma camisa com um padrão de rosas e está desajeitadamente carregando dois jornais	4.8
3899	main_captions	MSRvid	2019	3900	none	none	Cereal está sendo comido pelo homem	O homem está comendo cereal	5.0
3900	main_captions	MSRvid	2019	3901	none	none	Um homem está chutando uma bola de futebol de campo	O conteúdo de uma tigela está sendo misturado por um homem	1.0
3957	main_captions	MSRvid	2019	3958	none	none	Um menino está enchendo um jarro com água	Uma mulher está coletando água da torneira em uma caneca	2.3
3953	main_captions	MSRvid	2019	3954	none	none	Um cachorro está brincando excitadamente com água em um campo	O cachorro está abocanhando algumas gotas de água	3.65
3974	main_captions	MSRvid	2019	3975	none	none	Um cachorro preto está pulando de uma bola de feno para outra bola de feno	Um cachorro preto está saltando de uma bola de feno para outra bola de feno	4.8
3897	main_captions	MSRvid	2019	3898	none	none	Um homem e uma mulher estão caminhando pela floresta	O homem e a mulher estão andando através do bosque	5.0
3885	main_captions	MSRvid	2019	3886	none	none	Um macaco está chutando raivosamente um alvo	A sautese está sendo untada por uma mulher que está despejando um pouco de água	1.0
3954	main_captions	MSRvid	2019	3955	none	none	Um jogador de futebol de campo está chutando a bola dentro do gol	Uma bola de futebol de campo não está rolando para uma rede de gol	2.8
3950	main_captions	MSRvid	2019	3951	none	none	Uma pessoa está realizando um truque com cartas	Ninguém está realizando um truque de cartas	3.1
3973	main_captions	MSRvid	2019	3974	none	none	Um homem está dançando	Um homem está realizando uma dança	4.8
3892	main_captions	MSRvid	2019	3893	none	none	Uma pessoa está fatiando uma cebola	Uma cebola está sendo fatiada por uma pessoa	5.0
3866	main_captions	MSRvid	2019	3867	none	none	Um homem está atirando armas	Uma mulher está andando a cavalo	1.0
3951	main_captions	MSRvid	2019	3952	none	none	Um homem está quebrando uma mão de madeira contra uma placa	Um homem está quebrando azulejos com as mãos	2.7
3946	main_captions	MSRvid	2019	3947	none	none	Não tem nenhuma criança segurando uma pistola de água	Uma criança está segurando uma pistola de água	3.035
3972	main_captions	MSRvid	2019	3973	none	none	Uma pessoa está dobrando um pedaço de papel	Alguém está dobrando um pedaço de papel	4.8
3873	main_captions	MSRvid	2019	3874	none	none	Uma mulher de roupa roxa está levando uma bicicleta entre duas colunas de pedra	Uma mulher de blusa que é roxa está levando uma bicicleta entre duas colunas de pedra	5.0
3864	main_captions	MSRvid	2019	3865	none	none	Um homem está escalando cuidadosamente uma corda	Um panda está escalando	1.6
3944	main_captions	MSRvid	2019	3945	none	none	Um cachorro branco e castanho está andando pela água com dificuldade	Não tem nenhum cachorro branco e castanho andando ansiosamente com dificuldade na água	2.6
3943	main_captions	MSRvid	2019	3944	none	none	Um macaco pequenino está andando pela água	Um macaco não está andando pela água	3.7
3970	main_captions	MSRvid	2019	3971	none	none	Um gato preto está balançando em um ventilador	Um gato está balançando em um ventilador	4.5
3868	main_captions	MSRvid	2019	3869	none	none	Uma pessoa, que está de topless e com uma mochila, está em frente a uma pilha de pedras e nuvens estão ao fundo	Uma pessoa de topless com uma mochila está em frente a uma pilha de pedras e nuvens estão ao fundo	5.0
3862	main_captions	MSRvid	2019	3863	none	none	Uma mulher está misturando ovos	A mulher está bebendo	1.9
3933	main_captions	MSRvid	2019	3934	none	none	O equipamento de montanhismo está firmemente posicionado em frente ao ciclista em pé	Um grupo de pessoas está equipado com equipamentos de segurança	2.7
3941	main_captions	MSRvid	2019	3942	none	none	A mulher está usando óculos e uma touca preta	A mulher com um chapéu preto está usando óculos de sol	3.9
3969	main_captions	MSRvid	2019	3970	none	none	Uma mulher está coletando água da torneira em uma caneca	Uma mulher está coletando água de uma torneira em uma caneca	4.8
3860	main_captions	MSRvid	2019	3861	none	none	Suco de laranja está sendo bebido por um homem que está andando em um dia ensolarado	Um homem está bebendo suco de laranja e andando em um dia ensolarado	5.0
3834	main_captions	MSRvid	2019	3835	none	none	O piano está sendo tocado por alguém	Alguém está alimentando um animal	1.0
3932	main_captions	MSRvid	2019	3933	none	none	Um homem está falando	Um homem está dançando	2.3
3940	main_captions	MSRvid	2019	3941	none	none	Um praticante de salto está jogando o snowboard de uma pessoa pelo ar	A pessoa que está praticando snowboard pula pelo ar	3.5
3968	main_captions	MSRvid	2019	3969	none	none	O homem está montando um cavalo perto de um riacho	Um cavalo está sendo montado por um homem	4.3
3858	main_captions	MSRvid	2019	3859	none	none	Um homem está perigosamente jogando facas na árvore	Um homem está perigosamente jogando facas em uma árvore	5.0
3808	main_captions	MSRvid	2019	3809	none	none	Uma menina está cortando manteiga em duas partes	Algumas fatias de tofu estão sendo comidas por uma mulher	1.5
3926	main_captions	MSRvid	2019	3927	none	none	Um homem está fatiando uma cenoura confiantemente com a faca	A mulher está fatiando uma cebola	2.3
3939	main_captions	MSRvid	2019	3940	none	none	O homem não está fatiando vegetais	Uma mulher está fatiando uma batata	3.4
3967	main_captions	MSRvid	2019	3968	none	none	Um menino está pulando de uma plataforma e dois outros meninos estão de pé e assistindo	Um menino está pulando de uma plataforma e dois outros meninos estão de pé e o encarando	4.8
3850	main_captions	MSRvid	2019	3851	none	none	Um homem está segurando uma máscara em sua mão levantada	Uma máscara está sendo segurada por um homem em sua mão erguida	5.0
3777	main_captions	MSRvid	2019	3778	none	none	Um panda está escalando	Um homem está desamarrando uma corda	1.0
3883	main_captions	MSRvid	2019	3884	none	none	Tofu está sendo fatiado por uma mulher	Uma menina está cortando a manteiga em dois pedaços	2.1
3937	main_captions	MSRvid	2019	3938	none	none	Uma menina pequena está olhando para uma mulher de fantasia	A menina pequena está olhando um homem de fantasia	3.8
3966	main_captions	MSRvid	2019	3967	none	none	O homem de chapéu branco está tocando violão no palco	Um homem de chapéu branco está tocando violão no palco	4.9
3815	main_captions	MSRvid	2019	3816	none	none	Um teclado está sendo tocado por um homem	Um homem está tocando teclado	5.0
3717	main_captions	MSRvid	2019	3718	none	none	Um homem está cortando uma cenoura com uma faca	A mulher está fatiando uma cebola	1.9
3881	main_captions	MSRvid	2019	3882	none	none	Um bebê rinoceronte está andando em torno de uma jaula com sua mãe	Uma mãe está dando para o bebê um curral com um rinoceronte andando	2.1
3928	main_captions	MSRvid	2019	3929	none	none	Vários furões estão escalando para dentro da gaiola	Vários furões estão escalando para fora da gaiola	3.8
3964	main_captions	MSRvid	2019	3965	none	none	Uma pessoa está cortando alguns cogumelos	Não tem nenhuma pessoa cortando alguns cogumelos	4.1
3796	main_captions	MSRvid	2019	3797	none	none	A bateria está sendo tocada pelo homem	Um homem está tocando bateria	5.0
3691	main_captions	MSRvid	2019	3692	none	none	Um pedaço de madeira está sendo parafusado a uma parede por um homem	Um homem está massageando uma mulher	1.1
3871	main_captions	MSRvid	2019	3872	none	none	A bola de futebol está entre os pés de um menino que está deitado na grama	Um jogador de futebol está caindo na grama para desviar de uma criança pequena	2.9
3924	main_captions	MSRvid	2019	3925	none	none	Não tem nenhuma mulher dançando	O homem está dançando	3.1
3961	main_captions	MSRvid	2019	3962	none	none	Algum gato está brincando com uma melancia	Um gato está brincando com uma melancia	4.9
3760	main_captions	MSRvid	2019	3761	none	none	A multidão está assistindo um jogo de futebol	Um jogo de futebol está sendo assistido pela multidão	5.0
3686	main_captions	MSRvid	2019	3687	none	none	Um homem está cantando e tocando o violão	Um homem está abrindo um pacote que contém fones de ouvido	1.5
3863	main_captions	MSRvid	2019	3864	none	none	Uma bicicleta está sendo pedalada por um homem	Um macaco está andando de bicicleta	2.5
3919	main_captions	MSRvid	2019	3920	none	none	Alguns homens em uma competição estão correndo no exterior	O homem está correndo para alcançar a liderança	3.4
3960	main_captions	MSRvid	2019	3961	none	none	Os homens estão lutando com seus punhos em um ringue	Dois homens estão lutando com os punhos em um ringue	4.8
3758	main_captions	MSRvid	2019	3759	none	none	Este gato está brincando com uma melancia	O gato está brincando com uma melancia	5.0
3647	main_captions	MSRvid	2019	3648	none	none	Um homem está chutando uma bola de futebol de campo	Uma mulher está misturando os conteúdos de uma tigela	1.0
3861	main_captions	MSRvid	2019	3862	none	none	Uma mulher velha está usando uma camisa com padrões de rosas e está desajeitadamente carregando dois jornais	Um jornal está apresentando uma mulher com mãos grandes segurando óculos de sol e vestindo um casaco	2.0
3918	main_captions	MSRvid	2019	3919	none	none	Um homem está largando um violão	Um homem está tocando um violão	3.8
3959	main_captions	MSRvid	2019	3960	none	none	O homem está temperando as salsichas	O homem está temperando a carne	4.4
3731	main_captions	MSRvid	2019	3732	none	none	A mulher está brincando com dois jovens meninos em um parque	Uma mulher está brincando com dois meninos jovens em um parque	5.0
3646	main_captions	MSRvid	2019	3647	none	none	A senhora está fatiando a carne	A senhora está quebrando um ovo para a batedeira	1.865
3841	main_captions	MSRvid	2019	3842	none	none	Um homem está guardando o violão	O homem está tocando a flauta	2.8
3917	main_captions	MSRvid	2019	3918	none	none	O homem está levantando pesos	O homem está abaixando barras	3.8
3955	main_captions	MSRvid	2019	3956	none	none	Duas pessoas estão sentadas em cadeiras de gramado e estão lendo livros	Algumas pessoas estão sentadas em cadeiras no gramado e estão lendo livros	4.65
3728	main_captions	MSRvid	2019	3729	none	none	A mulher está tocando a flauta	Uma mulher está tocando uma flauta	5.0
3642	main_captions	MSRvid	2019	3643	none	none	A menina está andando de cavalo	A menina está regando as plantas	1.4
3833	main_captions	MSRvid	2019	3834	none	none	O homem está desenhando	O homem não está desenhando	2.8
3914	main_captions	MSRvid	2019	3915	none	none	Não tem nenhuma pessoa fatiando uma cenoura em pedaços	Uma pessoa está fatiando uma cenoura em pedaços	3.5
3952	main_captions	MSRvid	2019	3953	none	none	Duas pessoas usando roupas para neve estão no chão fazendo anjos da neve	Duas pessoas de roupas para neve estão deitadas na neve e estão fazendo anjos de neve	4.8
3721	main_captions	MSRvid	2019	3722	none	none	Três pessoas estão dirigindo quadriciclos	Quadriciclos estão sendo dirigidos por três pessoas	5.0
3641	main_captions	MSRvid	2019	3642	none	none	Uma menina está derretendo dois pedaços de manteiga juntos	Tofu está sendo fatiado por uma mulher	1.435
3831	main_captions	MSRvid	2019	3832	none	none	Um homem está sentado em uma cadeira e esfregando seus olhos	Um homem tatuado está em um sofá e está segurando um lápis	2.4
3910	main_captions	MSRvid	2019	3911	none	none	Um homem está fazendo alguns truques com uma bola de futebol de campo	Um homem está chutando uma bola de futebol de campo	3.8
3949	main_captions	MSRvid	2019	3950	none	none	Uma mulher de vestido vermelho está tocando um instrumento	Um instrumento está sendo tocado por uma mulher em um vestido vermelho	4.9
3719	main_captions	MSRvid	2019	3720	none	none	Um homem está cortando uma placa de papel	Uma placa de papel está sendo cortada pelo homem	5.0
3636	main_captions	MSRvid	2019	3637	none	none	Um homem está pulando em uma piscina vazia	Um ciclista está pulando no ar, sozinho	1.6
3811	main_captions	MSRvid	2019	3812	none	none	Um homem está sentado confortavelmente à mesa	Não tem nenhum homem usando uma camisa tingida de preto, sentado à mesa e rindo	2.8
3909	main_captions	MSRvid	2019	3910	none	none	Uma pessoa está usando um chapéu e está sentada na grama	Não tem nenhuma pessoa usando chapéu e sentada na grama	3.3
3948	main_captions	MSRvid	2019	3949	none	none	Um homem está enterrando uma bola de basquete no cesto e uma multidão está ao fundo	O jogador está enterrando a bola de basquete e uma multidão está ao fundo	4.7
3701	main_captions	MSRvid	2019	3702	none	none	Alguém está cortando um tomate	Um indivíduo está cortando um tomate	5.0
3616	main_captions	MSRvid	2019	3617	none	none	Uma pessoa não está picando uma cebola	Uma pessoa está andando de motocicleta	1.1
3802	main_captions	MSRvid	2019	3803	none	none	Um cachorro castanho está atacando outro animal em frente do homem de calça	Não tem nenhum cachorro lutando e abraçando	2.7
3908	main_captions	MSRvid	2019	3909	none	none	Quatro crianças do Oriente Médio, três meninas e um menino, estão subindo na gruta com um interior rosa	Um grupo de crianças está brincando em uma estrutura que é colorida	3.785
3947	main_captions	MSRvid	2019	3948	none	none	A mulher está mexendo ovos em uma tigela	Alguém está batendo um ovo	4.2
3677	main_captions	MSRvid	2019	3678	none	none	Uma torre está sendo vista por uma senhora loira	Uma senhora loira está olhando uma torre	5.0
3585	main_captions	MSRvid	2019	3586	none	none	O homem é um tocador de violão	Um barco está calmamente velejando sobre a água	1.0
3774	main_captions	MSRvid	2019	3775	none	none	Uma mulher está picando brócolis	A mulher está picando alho	2.8
3906	main_captions	MSRvid	2019	3907	none	none	Não tem nenhum menino segurando uma vara de pesca e correndo na frente de um peixe	Um menino está pendurando uma vara de pesca e correndo na frente de um peixe	3.4
3945	main_captions	MSRvid	2019	3946	none	none	A mulher está pegando e segurando um bebê canguru	Uma mulher está pegando e segurando um canguru, que é um bebê, nos braços	4.7
3662	main_captions	MSRvid	2019	3663	none	none	Um tigre está andando sem rumo	Um tigre está perambulando sem rumo	5.0
3581	main_captions	MSRvid	2019	3582	none	none	A massa está sendo esticada por um homem	Uma mulher está fatiando carne com uma faca	1.5
3772	main_captions	MSRvid	2019	3773	none	none	Um homem está apertando os botões de um micro-ondas	Um homem está sendo empurrado em direção aos botões de um micro-ondas	2.8
3903	main_captions	MSRvid	2019	3904	none	none	Um cachorro está abrindo uma lata de comida	Um cachorro está mordendo uma lata	3.3
3942	main_captions	MSRvid	2019	3943	none	none	A mulher está fritando uma costeleta de porco empanada	Uma mulher está cozinhando uma costeleta de porco que está empanada	4.4
3600	main_captions	MSRvid	2019	3601	none	none	Uma mulher está cortando uma batata	Uma mulher está fatiando uma batata	5.0
3576	main_captions	MSRvid	2019	3577	none	none	Uma mulher está mergulhando um camarão na massa	Um homem está dirigindo um carro	1.0
3770	main_captions	MSRvid	2019	3771	none	none	O homem está montando um cavalo	Um cavalo está cavalgando sobre um homem	2.9
3894	main_captions	MSRvid	2019	3895	none	none	Uma mulher está preparando um ovo em uma sautese	Uma mulher está despejando uma mistura em uma tigela e misturando-a	3.3
3938	main_captions	MSRvid	2019	3939	none	none	Não tem nenhum homem sentado no chão tocando violão	Um homem está sentado no chão em uma sala e está dedilhando um violão	4.3
3570	main_captions	MSRvid	2019	3571	none	none	A pessoa de jaqueta azul está usando um capacete colorido	Uma pessoa de jaqueta azul está usando um capacete colorido	5.0
3563	main_captions	MSRvid	2019	3564	none	none	Um homem está abrindo um pacote que não contém fones de ouvido	Um homem está cantando e tocando o violão	1.1
3744	main_captions	MSRvid	2019	3745	none	none	Um homem está sentado	Um homem está dançando	2.7
3890	main_captions	MSRvid	2019	3891	none	none	Dois espectadores estão lutando kickboxing e algumas pessoas estão assistindo	Duas mulheres estão brigando em uma partida de kickboxing	3.6
3936	main_captions	MSRvid	2019	3937	none	none	Não tem nenhuma senhora misturando uma mistura de carne em uma tigela	Uma senhora está misturando uma mistura de carne em uma tigela	4.0
3569	main_captions	MSRvid	2019	3570	none	none	Uma mulher está passando sombra	A sombra está sendo passada por uma mulher	5.0
3528	main_captions	MSRvid	2019	3529	none	none	O homem está dirigindo um carro	O homem tem uma janela de tempo para se limpar	1.6
3726	main_captions	MSRvid	2019	3727	none	none	Um cachorro está pulando em um trampolim de mergulho	Um cachorro está saltando em um trampolim	2.9
3888	main_captions	MSRvid	2019	3889	none	none	Uma flauta está sendo tocada de maneira adorável por uma menina	Uma mulher está tocando flauta	3.7
3935	main_captions	MSRvid	2019	3936	none	none	Os ovos estão sendo rachados em uma tigela por uma mulher	Uma mulher está rachando ovos em uma tigela	4.9
3566	main_captions	MSRvid	2019	3567	none	none	O filhote de cachorro está brincando com um recipiente de plástico	O filhote de cachorro está brincando com um recipiente feito de plástico	5.0
3477	main_captions	MSRvid	2019	3478	none	none	Uma mulher está ralando cenouras	Não há nenhuma mulher cobrindo uma costeleta de porco	1.6
3723	main_captions	MSRvid	2019	3724	none	none	Uma mulher asiática na multidão está carregando uma sacola preta	Um pequeno trem preto está na sacola de uma menina	2.1
3884	main_captions	MSRvid	2019	3885	none	none	Duas pessoas estão jogando pingue-pongue	Um jogador de pingue-pongue encontra-se com duas pessoas	3.1
3934	main_captions	MSRvid	2019	3935	none	none	A mulher está tocando a flauta	A flauta está sendo tocada pela mulher	4.9
3561	main_captions	MSRvid	2019	3562	none	none	Uma mulher está recebendo bolas de vôlei de outra mulher	Uma mulher está entregando bolas de vôlei para outra mulher	5.0
3455	main_captions	MSRvid	2019	3456	none	none	Um homem está segurando um sapo descuidadamente	Um homem está esvaziando completamente um recipiente feito de plástico	1.4
3705	main_captions	MSRvid	2019	3706	none	none	Um homem está sentado	Um homem está caminhando do lado de fora	2.6
3879	main_captions	MSRvid	2019	3880	none	none	Uma mulher está quebrando um ovo em uma tigela	A mulher está pondo uma tigela com uma rachadura perto de um ovo	3.2
3931	main_captions	MSRvid	2019	3932	none	none	O homem está levantando pesos	Os pesos estão sendo levantados pelo homem	4.9
3553	main_captions	MSRvid	2019	3554	none	none	Um cachorro pequenino está deitado na cama	Um pequenino cachorro está deitado em uma cama	5.0
3397	main_captions	MSRvid	2019	3398	none	none	Um caminhão está rapidamente descendo o morro	Um pouco de água está sendo bebida por um gato	1.0
3681	main_captions	MSRvid	2019	3682	none	none	Uma pessoa está tocando um violão e cantando	A mulher não está tocando um violão, que é acústico, ou cantando	2.9
3874	main_captions	MSRvid	2019	3875	none	none	Não tem nenhum menino tocando um piano	Um menino está tocando um piano	3.7
3930	main_captions	MSRvid	2019	3931	none	none	Uma jovem mulher está tocando o violão	Uma menina está tocando violão	4.5
3531	main_captions	MSRvid	2019	3532	none	none	Uma menina de roupa estranha está andando na bicicleta	A bicicleta está sendo pedalada por uma menina em uma roupa estranha	5.0
3351	main_captions	MSRvid	2019	3352	none	none	Um caminhão está descendo rapidamente um morro	Não tem água sendo bebida por um gato	1.0
3665	main_captions	MSRvid	2019	3666	none	none	Uma mulher está desossando um peixe	Uma mulher está libertando um peixe	2.7
3872	main_captions	MSRvid	2019	3873	none	none	Uma mulher está fatiando um dente de alho	Uma mulher está fatiando uma pimenta grande	3.2
3929	main_captions	MSRvid	2019	3930	none	none	As pessoas estão andando por uma rua movimentada	As pessoas estão andando por uma rua que está lotada	4.815
3520	main_captions	MSRvid	2019	3521	none	none	Um homem está tocando uma harpa	O homem está tocando uma harpa	5.0
3326	main_captions	MSRvid	2019	3327	none	none	O homem está andando de cavalo	A menina está borrifando as plantas com água	1.3
3661	main_captions	MSRvid	2019	3662	none	none	Uma pessoa está parando de tocar um trompete	Um homem está tocando o violão	2.8
3870	main_captions	MSRvid	2019	3871	none	none	Uma mulher, que é velha, está perto de um cachorro branco	Uma mulher, que é velha, está longe de um cachorro branco	3.6
3927	main_captions	MSRvid	2019	3928	none	none	Um homem está usando um capacete de proteção e dançando	Um homem com um chapéu duro está dançando	4.7
3496	main_captions	MSRvid	2019	3497	none	none	O menino está examinando um calendário	Um menino está estudando um calendário	5.0
3316	main_captions	MSRvid	2019	3317	none	none	O homem está pensando	Um homem está dançando	1.7
3660	main_captions	MSRvid	2019	3661	none	none	Uma mulher está cuidadosamente removendo sua maquiagem	Uma mulher está passando maquiagem cuidadosamente	2.8
3867	main_captions	MSRvid	2019	3868	none	none	Um homem está guardando um violão	Um homem está tocando um violão	3.4
3925	main_captions	MSRvid	2019	3926	none	none	O cachorro com pelagem castanha está brincando ao ar livre	O cachorro castanho está brincando ao ar livre	4.8
3452	main_captions	MSRvid	2019	3453	none	none	Uma mulher está passando sombra	A mulher está passando sombra	5.0
3240	main_captions	MSRvid	2019	3241	none	none	O homem está tocando piano	Um cara está brincando animadamente com uma bola de meia	1.3
3648	main_captions	MSRvid	2019	3649	none	none	Algumas mulheres estão dançando alegremente	Os três homens estão dançando	2.9
3856	main_captions	MSRvid	2019	3857	none	none	O homem está martelando um prego com uma câmera	Alguém está pregando uma lente de câmera com fortes barulhos	3.55
3923	main_captions	MSRvid	2019	3924	none	none	Dois homens estão de pé perto da água e estão segurando varas de pesca	Dois homens estão segurando varas de pescar	4.4
3439	main_captions	MSRvid	2019	3440	none	none	Um cachorro castanho e branco está pulando no ar com uma bola de tênis na boca	Um cachorro castanho e branco está pulando no ar com uma bola de tênis em sua boca	5.0
3211	main_captions	MSRvid	2019	3212	none	none	Um jogador de futebol está tocando piano	Um homem está tocando flauta	1.8
3621	main_captions	MSRvid	2019	3622	none	none	Dois meninos estão estudando	Dois meninos no sofá estão jogando vídeo games	2.3
3846	main_captions	MSRvid	2019	3847	none	none	Três meninos com uniformes de karatê estão brigando	Três homens estão praticando karatê em um campo	3.4
3922	main_captions	MSRvid	2019	3923	none	none	Um homem está pulando em uma piscina de natação vazia	Um homem está pulando em uma piscina vazia	4.8
3431	main_captions	MSRvid	2019	3432	none	none	Um homem está despejando óleo em uma frigideira	Um homem está despejando óleo dentro de uma frigideira	5.0
3195	main_captions	MSRvid	2019	3196	none	none	Duas pessoas estão jogando pingue-pongue	Alguns animais estão brincando selvagemente na água	1.1
3610	main_captions	MSRvid	2019	3611	none	none	Um menino de camiseta vermelha está na frente de uma parede, que é longa e azul, e está desconfiadamente levantando uma sobrancelha para a câmera	Um menino está em pé em frente ao edifício azul no espaço reservado para pessoas com deficiência	2.3
3843	main_captions	MSRvid	2019	3844	none	none	Um menino na adolescência não está falando com uma menina com uma webcam	Um menino na adolescência está falando com uma menina com uma webcam	3.1
3921	main_captions	MSRvid	2019	3922	none	none	Uma menina jovem está sentada em traje de banho	Uma menina jovem está sentada em um equipamento de natação	4.5
3415	main_captions	MSRvid	2019	3416	none	none	Um cachorro castanho está correndo pela grama que é alta e verde	Um cachorro castanho está correndo pela alta grama verde	5.0
3181	main_captions	MSRvid	2019	3182	none	none	Alguém está dando comida a um animal	O piano não está sendo tocado por ninguém	1.0
3608	main_captions	MSRvid	2019	3609	none	none	Um homem está de pé no meio de uma estrada	O homem está andando por um caminho através da natureza	2.7
3832	main_captions	MSRvid	2019	3833	none	none	Não tem nenhuma menina pulando no carro	Uma menina está pulando no carro	3.9
3920	main_captions	MSRvid	2019	3921	none	none	Um cachorro castanho está correndo por um caminho nevado	Um cachorro está correndo em um caminho nevado	4.5
3379	main_captions	MSRvid	2019	3380	none	none	Um cachorro caramelo está correndo pelo arbusto	Um cachorro, que é caramelo, está correndo pelo arbusto	5.0
3127	main_captions	MSRvid	2019	3128	none	none	Uma mulher está pilotando uma moto aquática	O menino está andando em um triciclo	1.4
3607	main_captions	MSRvid	2019	3608	none	none	Um bebê rinoceronte está seguindo um rinoceronte adulto	Uma mãe está dando para o bebê um curral com um rinoceronte andando	2.1
3825	main_captions	MSRvid	2019	3826	none	none	A pessoa está rapidamente fatiando um vegetal	Alguém está fatiando um tomate	3.8
3916	main_captions	MSRvid	2019	3917	none	none	Uma mulher está desajeitadamente colocando carne em uma frigideira	A carne está sendo despejada em uma frigideira	4.2
3369	main_captions	MSRvid	2019	3370	none	none	A menina está se exercitando	Uma menina está se exercitando	5.0
3087	main_captions	MSRvid	2019	3088	none	none	O gato está brincando com um dispositivo	O menino está brincando na lama	1.0
3597	main_captions	MSRvid	2019	3598	none	none	Uma pessoa está juntando pedaços de uma cebola	Uma pessoa está fatiando uma cenoura em pedaços	2.5
3823	main_captions	MSRvid	2019	3824	none	none	O homem está no passeio com o cavalo	O cavalo está sendo montado por um homem	3.7
3915	main_captions	MSRvid	2019	3916	none	none	Uma pessoa está sentada em um campo e está usando um chapéu	Um homem está sentado em um campo	4.0
3319	main_captions	MSRvid	2019	3320	none	none	Um jovem menino está mergulhando em um lago tranquilo	Um menino jovem está pulando em um lago tranquilo	5.0
3085	main_captions	MSRvid	2019	3086	none	none	Duas pessoas estão jogando pingue-pongue	Alguns animais estão brincando na água	1.0
3594	main_captions	MSRvid	2019	3595	none	none	O elefante está sendo montado pela mulher	O elefante não está sendo montado pela mulher	2.9
3821	main_captions	MSRvid	2019	3822	none	none	Um casal está correndo em direção à água	Um homem e uma mulher estão correndo juntos e de mãos dadas	3.6
3913	main_captions	MSRvid	2019	3914	none	none	Um cachorro está na areia que está se espalhando no ar	Um cachorro está na areia que está sendo soprada pelo vento	4.8
3311	main_captions	MSRvid	2019	3312	none	none	Uma família está comprando algo em uma máquina de venda	Uma família está comprando algo na máquina de venda automática	5.0
3074	main_captions	MSRvid	2019	3075	none	none	Um homem está fritando uma tortilha	Ninguém está realizando um truque de cartas	1.0
3591	main_captions	MSRvid	2019	3592	none	none	O homem está fatiando pão	A mulher não está fatiando ervas	2.9
3820	main_captions	MSRvid	2019	3821	none	none	Não tem nenhum homem sendo atingido	Um menino está batendo em um homem com uma espada de plástico	3.5
3912	main_captions	MSRvid	2019	3913	none	none	Um homem e uma mulher estão andando agradavelmente	Uma mulher e um homem estão caminhando	4.9
3291	main_captions	MSRvid	2019	3292	none	none	O homem está pensando	Um homem está pensando	5.0
3006	main_captions	MSRvid	2019	3007	none	none	Uma pessoa está despejando vegetais picados em uma panela no fogão	Não tem nenhum homem dando tapas na boca de um jacaré	1.0
3588	main_captions	MSRvid	2019	3589	none	none	Um homem não está cautelosamente alimentando com um rato a cobra	O homem está cuidadosamente alimentando a cobra com um rato	2.7
3812	main_captions	MSRvid	2019	3813	none	none	A noiva está deixando o noivo após o casamento	A noiva e o noivo estão partindo após o casamento	3.2
3907	main_captions	MSRvid	2019	3908	none	none	Um cachorro cinza e sedoso está dormindo na grama e um cachorro castanho está olhando	Um cachorro sedoso cinza está deitado na grama e um cachorro castanho está olhando	4.5
